id,id_imdb,titulo,estado,tipo,mi_valoracion,fecha_vista
120467,tt2278388,El gran hotel Budapest,3,película,8,2025-04-24
915935,tt17009710,Anatomía de una caída,1,película,,
515042,tt7775622,Free Solo,1,película,,
1182047,tt8368368,The Apprentice  (La historia de Trump),1,película,,
24,tt0266697,Kill Bill: Volumen 1,1,película,,
13689,tt0438315,El guerrero pacífico,3,película,6,2025-04-22
273248,tt3460252,Los odiosos ocho,1,película,,
18785,tt1119646,Resacón en Las Vegas,3,película,6.5,2025-05-13
744,tt0092099,Top Gun: Ídolos del aire,3,película,6,2025-05-25
9799,tt0232500,A todo gas,3,película,6.5,2025-05-27
584,tt0322259,2 Fast 2 Furious: A todo gas 2,3,película,6.5,2025-05-27
9615,tt0463985,A todo gas: Tokyo Race,3,película,6,2025-05-27
297,tt0119643,¿Conoces a Joe Black?,3,película,6.5,2025-06-02
134374,tt1980209,Dolor y dinero,1,película,,
308266,tt2005151,Juego de armas,1,película,,
60304,tt1428538,Hansel y Gretel: Cazadores de brujas,1,película,,
9912,tt0412080,"Burt Munro: Un sueño, una leyenda",3,película,6.5,2025-08-18
911430,tt16311594,F1 la película,3,película,7,2025-08-23
20526,tt1104001,TRON: Legacy,3,película,6,2025-08-31
533533,tt6604188,TRON: Ares,1,película,,
986056,tt20969586,Thunderbolts*,1,película,,
272,tt0372784,Batman Begins,3,película,6.5,2025-08-23
58244,tt1374992,Un amor entre dos mundos,3,película,6,2025-08-25
1307078,tt4978342,Mi año en Oxford,1,película,,
1312946,tt33549478,El mapa que me lleva a ti,3,película,7,2025-08-26
18120,tt1272013,Fuga de cerebros,3,película,6.5,2025-08-28
80105,tt1861334,Fuga de cerebros 2,3,película,6,2025-08-28
508791,tt6423362,El sol también es una estrella,3,película,6.5,2025-08-29
412105,tt5539054,Me necesitas,3,película,6,2025-08-30
84892,tt1659337,Las ventajas de ser un marginado,3,película,6.5,2025-09-01
